Name,Type,Value,Regular,Destination Type,Destination Value,Destination Regular,Effective Channel,Mac Value,Windows Value,Linux Value,Target Port,Mac Regular,Windows Regular,Linux Regular, Endpoint Location
CSDN,目标域名,event.csdn.net;zhannei-dm.csdn.net;passport.csdn.net,,,,,HTTP;HTTPS,,,,.,,,,任意位置
SkyGuard,目标域名,support.skyguard.com.cn,,,,,HTTP;HTTPS,,,,.,,,,任意位置
O365 API,目标域名,loki.office365.cn;partner.outlook.cn,,,,,HTTP;HTTPS,,,,.,,,,任意位置
other,目标域名,www.zhipin.com;mon.snssdk.com;aefd.nelreports.net;ad.wappalyzer.com;cn.bing.com;bidder.criteo.com;gm.mmstat.com;omnatuor.com;onetag-sys.com;metric.huya.com;sensors.xeknow.com;tingyun.com;carbondesignsystem.com;alivereport.xiaoeknow.com;douyucdn.cn;beacons.gcp.gvt2.com;events.launchdarkly.com;datadoghq.com;api-private.atlassian.com;figma.com;ib.adnxs.com;ceres.shuu.cf;t.dribbble.com;nelreports.net,,,,,HTTP;HTTPS,,,,.,,,,任意位置
linkedin,目标域名,linkedin.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
飞书,目标IP/IP段,140.207.247.158,,,,,HTTP;HTTPS,,,,.,,,,任意位置
飞书应用,应用程序路径,,,,,,应用程序通道,,%userprofile%\Feishu,,.,,,,任意位置
web storm,应用程序路径,~/Applications/WebStorm.app/*
/Applications/WebStorm.app*,,,,,应用程序通道;网络共享;本地存储,,,,.,,,,任意位置
IDEA,应用程序路径,~/Applications/IntelliJ IDEA.app/*
/Applications/IntelliJ IDEA.app/*,,,,,应用程序通道;网络共享;本地存储,~/Applications/IntelliJ IDEA.app/Contents;/Applications/IntelliJ IDEA.app/Contents,,,.,,,,任意位置
05自定义-其他域名白名单,目标域名,music.163.com;prebid.a-mo.net;mp.4dex.io;intake.pbstck.com;howardchen2019.atlassian.net;ct.ctrip.com;analytics.lexiang-asset.com;gia.jd.com;data.bilibili.com;m.stripe.com;api.feelgood.cn;partner.officewebapps.cn;m.ctrip.com;wabi-mc-sha-redirect.analysis.chinacloudapi.cn;people.bytedance.net;dc.applicationinsights.azure.cn;snssdk.com;sentry.zhaopin.com;data.bilivideo.com;antispider-security.anjuke.com;translate.google.cn;sentry.mshare.cn;huoban.com;kns.cnki.net;dev-sentry.mokahr.com;byteoversea.com;niock.autobole.com;firefox.com.cn;fanyi.baidu.com;iqiyi.com;ilovepdf.com;pinduoduo.com;www.trip.com;www.ef.com.cn;microsofttranslator.com;qurl.f.360.cn;clarity.ms;video.qq.com;tpstelemetry.tencent.com;myworkday.com;www.processon.com;api.zjurl.cn;zijieapi.com;otheve.beacon.qq.com;browser.events.data.msn.cn;miao.baidu.com;tripcdn.com;weibocdn.com;www.douyin.com;imapi.douyin.com;dongchedi.com;ftwo-receiver.autohome.com.cn;xlab.baidu.com;sofire.baidu.com;aegis.qq.com;www.bing.com;statistic.liepin.com;studio.ixigua.com;track.shimo.im;yiche.com;pconline.com.cn;51miz.com;jd.com;google-analytics.com;nextevinc-my.sharepoint.cn;cloud.tencent.com;www.laihua.com;upload.qiniup.com;nleditor.osi.office.net;k-aeu1.contentsquare.net;apm-fe.zhipin.com;apm-fe.xiaohongshu.com;iotsdk.midea.com;careers.midea.com;fe.xiaohongshu.com;adobe.com;analytics.yiyouliao.com;api.asotools.io;api.wetab.link;api2.mubu.com;huazhu.com;portal.ap1.covapp.io;autopp.tpi.cntaiping.com;live.primis.tech;print-action.cn-hangzhou.log.aliyuncs.com;collect.futunn.com;pollserver.lastpass.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
